	sp_id	latitude	longitude	size
0	1	55.197379	61.479746	1600
1	2	55.157773	61.373286	1600
2	3	55.138058	61.427302	1600
3	4	55.180038	61.390956	1600
4	5	55.151492	61.3972	1600
5	6	55.265358	61.389447	1600
6	7	55.178239	61.398682	1600
7	8	55.123718	61.514142	1600
8	9	55.197785	61.312947	1600
9	10	55.106809	61.485594	1600
10	11	55.1856	61.458177	1600
11	12	55.171211	61.437983	1600
12	13	55.17957	61.43183	1600
13	14	55.167097	61.533187	1600
14	15	55.143363	61.431354	1600
15	16	55.176239	61.342169	1600
16	17	55.156194	61.412938	1600
17	18	55.128552	61.439852	1600
18	19	55.176475	61.348179	1600
19	20	55.143584	61.41098	1600
20	21	55.245979	61.400532	1600
21	22	55.191932	61.315058	1600
22	23	55.182536	61.299104	1600
23	24	55.083895	61.343723	1600
24	25	55.186222	61.328613	1600
25	26	55.129427	61.42308	1600
26	27	55.161785	61.394172	1600
27	28	55.172625	61.42193	1600
28	29	55.154522	61.387776	1600
29	30	55.1672	61.397245	1600
30	31	55.263896	61.399751	1600
31	32	55.155124	61.398332	1600
32	33	55.180984	61.31106	1600
33	34	55.190061	61.284919	1600
34	35	55.133272	61.444379	1600
35	36	55.244342	61.391621	1600
36	37	55.159064	61.419226	1600
37	38	55.248493	61.405419	1600
38	39	55.159696	61.440103	1600
39	40	55.197816	61.346984	1600
40	41	55.179411	61.454557	1600
41	42	55.181894	61.403335	1600
42	43	55.191551	61.353497	1600
43	44	55.0362	61.372703	1600
44	45	55.178414	61.302652	1600
45	46	55.197888	61.341558	1600
46	47	55.203745	61.315579	1600
47	48	55.071788	61.396661	1600
48	49	55.170645	61.467735	1600
49	50	55.136586	61.379754	1600
50	51	55.335079	60.233486	1600
51	52	55.178131	61.28659	1600
52	53	55.173612	61.297208	1600
53	54	55.256042	61.390229	1600
54	55	55.123126	61.429117	1600
55	56	55.180974	61.299391	1600
56	57	55.181652	61.415642	1600
57	58	55.243957	61.369037	1600
58	59	55.196742	61.313279	1600
59	60	55.181215	61.348727	1600
60	61	53.362941	58.9561	1600
61	62	55.143641	61.384372	1600
62	63	55.143893	61.438073	1600
63	64	55.197451	61.30276	1600
64	65	55.153004	61.377104	1600
65	66	55.112247	61.340139	1600
66	67	55.256457	61.400038	1600
67	68	55.190647	61.394307	1600
68	69	55.163651	61.385207	1600
69	70	55.116186	61.353622	1600
70	71	55.111114	61.466612	1600
71	72	55.160658	61.299382	1600
72	73	55.140049	61.446418	1600
73	74	55.235102	61.408545	1600
74	75	55.180172	61.468481	1600
75	76	55.238916	61.375892	1600
76	77	55.19576	61.35947	1600
77	78	55.191644	61.344091	1600
78	79	55.116717	61.380743	1600
79	80	55.177519	61.36628	1600
80	81	55.159506	61.451772	1600
81	82	55.176095	61.437417	1600
82	83	55.140137	61.40594	1600
83	84	55.121546	61.45568	1600
84	85	55.191048	61.483312	1600
85	86	55.240153	61.372963	1600
86	87	55.266102	61.397487	1600
87	88	55.237207	61.305985	1600
88	89	55.18838	61.296984	1600
89	90	55.175535	61.448853	1600
90	91	55.174625	61.469245	1600
91	92	55.253132	61.388297	1600
92	93	55.147819	61.414663	1600
93	94	55.256185	61.382449	1600
94	95	55.123996	61.606606	1600
95	96	55.135557	61.40064	1600
96	97	55.247755	61.394639	1600
97	98	55.254831	61.382494	1600
98	99	55.192153	61.3267	1600
99	100	55.15821	61.384111	1600
100	101	55.238855	61.393436	1600
101	102	55.198324	61.32767	1600
102	103	55.185764	61.385674	1600
103	104	55.175401	61.483923	1600
104	105	55.248673	61.375281	1600
105	106	55.120331	61.467232	1600
106	107	55.115527	61.458483	1600
107	108	55.100917	61.492735	1600
108	109	55.162407	61.422559	1600
109	110	55.248683	61.376062	1600
110	111	55.186854	61.29357	1600
111	112	55.262593	61.382997	1600
112	113	55.184988	61.436734	1600
