alpha,lmbd,distance,trajectory
0.9,0.3,29512107.235742968,"[10.0, 10.0, 33.4, 55.5, 111.6, 201.4, 355.8, 653.9, 1168.5, 2338.9, 4792.9, 8258.1, 12669.9, 21524.0, 34881.8, 52462.3, 85589.6, 124431.8, 154734.3, 187832.9, 209511.1, 215476.3, 217702.9, 193187.2, 175622.6, 150497.4, 129957.9, 113355.8, 84150.2, 70946.4, 57241.7, 42266.0, 31358.2, 24836.1, 18172.1, 14335.7, 11876.5, 10688.7, 7033.3, 5888.0, 4259.1, 3619.6, 2611.3, 1768.7, 1391.2, 1017.5, 708.4, 591.1, 489.5, 388.2, 329.8, 248.1, 209.1, 133.3, 109.3, 95.5, 63.8, 51.5, 37.1, 29.4, 14.5, 10.9, 8.4, 8.0, 5.4, 5.0, 3.9, 3.1, 2.0, 1.4, 1.0, 0.6, 0.3, 0.3, 0.4, 0.5, 0.6, 0.5, 0.5, 0.5, 0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.8,0.4,30789532.762570284,"[10.0, 10.0, 30.9, 45.6, 81.5, 117.7, 216.0, 389.0, 822.5, 1699.4, 3210.6, 5165.3, 8834.3, 15497.6, 26203.7, 46236.7, 73081.6, 110654.3, 140369.9, 171777.2, 185405.3, 196923.8, 192538.7, 178361.6, 158304.8, 132011.9, 113398.2, 89259.4, 69612.1, 48739.2, 37200.5, 28033.4, 23678.7, 16496.3, 12768.8, 9110.9, 7562.8, 5158.2, 3584.0, 2723.2, 2186.7, 1398.6, 1134.9, 833.6, 623.7, 402.2, 321.0, 261.2, 190.9, 116.9, 87.1, 49.7, 37.9, 31.3, 16.7, 13.7, 7.5, 5.9, 3.3, 2.4, 1.7, 1.0, 1.0, 0.4, 0.6, 0.5, 0.6, 0.7, 0.6, 0.6, 0.4, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.75,0.4,42774891.92843374,"[10.0, 10.0, 29.1, 42.6, 77.9, 121.9, 207.9, 392.8, 824.2, 1775.0, 3194.6, 5602.3, 9272.7, 14952.0, 27327.1, 42801.9, 75362.5, 101650.5, 135518.8, 157759.5, 183595.1, 183728.9, 180976.5, 168805.6, 141783.4, 128789.4, 97774.9, 88100.3, 60392.8, 47690.7, 38961.6, 25600.4, 19402.4, 13668.5, 10980.5, 7710.9, 6218.7, 4825.3, 3607.6, 2503.7, 1775.6, 1239.0, 907.9, 590.6, 398.5, 360.2, 249.2, 207.4, 156.8, 128.0, 96.3, 80.1, 58.6, 42.7, 34.5, 25.9, 20.6, 15.8, 9.5, 6.9, 6.0, 4.4, 3.0, 2.1, 1.6, 1.5, 1.3, 1.4, 1.0, 0.9, 0.7, 0.6, 0.5, 0.4, 0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.8,0.3,62864722.459598385,"[10.0, 10.0, 27.9, 44.1, 85.3, 136.6, 234.7, 408.9, 811.9, 1515.3, 3078.4, 5500.3, 8938.3, 13588.3, 20548.5, 30733.7, 48722.2, 72592.1, 99591.2, 129710.0, 136578.3, 166591.2, 163962.7, 165905.3, 154907.0, 133306.9, 132297.0, 102631.3, 89380.1, 68653.9, 51678.3, 40673.5, 28665.4, 20813.9, 17930.6, 11917.2, 10034.9, 8485.6, 7682.0, 4679.8, 4195.1, 2830.5, 2375.1, 1641.4, 1337.9, 1070.7, 774.1, 653.0, 437.2, 417.1, 301.9, 183.4, 148.1, 94.5, 81.2, 50.1, 43.8, 32.6, 22.6, 17.3, 14.7, 11.3, 9.3, 9.4, 6.4, 5.1, 3.7, 3.3, 3.1, 1.8, 1.8, 1.8, 1.6, 1.5, 1.0, 0.9, 0.8, 0.7, 0.4, 0.4, 0.3, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.95,0.3,65096768.97060242,"[10.0, 10.0, 25.1, 36.3, 69.5, 105.4, 176.6, 320.3, 615.6, 1267.3, 2488.8, 4622.1, 8674.8, 13688.9, 23400.8, 38576.7, 59700.7, 93262.5, 128374.5, 167429.0, 192817.7, 218065.5, 236754.7, 221649.9, 213633.2, 182712.2, 162309.1, 143818.9, 117901.6, 107811.8, 82151.6, 72697.8, 61227.1, 43302.6, 30269.3, 21058.3, 17754.6, 14494.3, 11752.0, 7659.0, 6021.6, 5015.0, 3109.3, 2752.5, 2080.4, 1693.6, 1261.2, 1006.2, 717.3, 560.5, 467.1, 297.5, 267.7, 231.8, 165.2, 112.2, 93.3, 73.7, 59.9, 34.3, 32.4, 22.2, 13.1, 10.6, 7.7, 5.8, 3.7, 3.4, 2.2, 1.8, 0.9, 0.5, 0.5, 0.5, 0.3, 0.4, 0.3, 0.3, 0.3, 0.2, 0.5, 0.6, 0.7, 0.7, 1.0, 1.1, 0.9, 0.8, 0.7, 0.7, 0.3, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.85,0.3,67616503.62232932,"[10.0, 10.0, 35.0, 43.8, 82.2, 128.9, 216.6, 356.2, 651.2, 1346.4, 2714.7, 4708.0, 7974.3, 12714.2, 21695.0, 34435.8, 52370.1, 83539.7, 111291.7, 133669.0, 151064.7, 174124.7, 190140.9, 189428.0, 186572.4, 183048.4, 176022.7, 155338.2, 126432.8, 98966.7, 76577.7, 57353.2, 40604.9, 26764.7, 21686.0, 18118.3, 13273.2, 9974.8, 7560.4, 6314.6, 5254.8, 3919.6, 3292.9, 2309.9, 1922.7, 1335.4, 1101.7, 1044.9, 675.0, 486.2, 394.9, 276.6, 208.1, 152.7, 129.4, 98.2, 73.9, 49.6, 41.5, 28.5, 23.9, 18.6, 14.0, 9.9, 7.0, 5.0, 3.4, 2.1, 1.5, 1.2, 1.1, 0.6, 0.4, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.9,0.4,89071262.04489957,"[10.0, 10.0, 40.2, 52.2, 93.0, 148.2, 245.7, 489.4, 941.2, 2035.6, 3820.2, 6934.0, 12311.0, 21626.3, 41869.6, 68329.7, 111953.4, 150693.4, 177571.8, 215966.1, 228209.9, 239579.8, 231013.3, 220297.3, 209111.3, 175474.4, 156354.6, 124693.3, 95227.3, 69451.6, 50225.8, 38467.3, 26418.0, 19714.7, 13972.0, 9222.6, 7994.3, 5787.2, 4263.0, 3935.2, 2431.5, 1913.3, 1281.8, 1009.7, 769.7, 565.7, 424.7, 298.9, 220.1, 145.6, 116.9, 80.4, 58.0, 36.7, 25.2, 22.2, 16.3, 13.0, 6.6, 4.3, 3.4, 2.7, 1.6, 1.6, 1.3, 1.0, 0.9, 0.4, 0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.75,0.7,104623934.16128515,"[10.0, 10.0, 55.3, 69.9, 101.3, 117.7, 165.1, 237.1, 477.1, 1034.8, 2351.4, 4554.4, 9277.7, 16846.1, 33629.7, 64250.4, 102031.6, 138440.5, 171874.9, 208198.7, 214463.9, 224070.7, 198675.4, 178988.4, 148803.9, 113532.3, 94246.0, 57563.0, 46000.2, 28471.7, 21288.0, 13359.0, 9624.7, 5860.7, 3823.0, 2568.0, 1788.2, 1086.4, 795.5, 464.1, 341.7, 192.7, 128.3, 70.1, 49.1, 29.2, 18.3, 10.1, 7.5, 4.0, 2.4, 0.9, 0.8, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.8,0.5,134291745.16851404,"[10.0, 10.0, 34.4, 53.5, 76.0, 114.6, 181.4, 357.0, 760.8, 1691.2, 4165.0, 9327.1, 16127.9, 28415.2, 48684.5, 82741.1, 121464.3, 154911.3, 190213.4, 207789.9, 216618.5, 213070.1, 194424.4, 166792.6, 134397.9, 111762.2, 87964.6, 63177.7, 43126.2, 36411.0, 28576.7, 22928.2, 18023.9, 12109.7, 10028.4, 6058.9, 4370.1, 2784.7, 2080.7, 1423.5, 1019.2, 737.3, 490.2, 346.7, 237.0, 151.3, 122.2, 77.4, 67.1, 46.0, 42.4, 32.0, 28.2, 27.1, 25.5, 21.8, 16.8, 14.3, 11.2, 8.1, 5.3, 4.2, 2.5, 2.0, 1.4, 1.1, 1.0, 0.6, 0.4, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.95,0.4,155006153.4833735,"[10.0, 10.0, 28.4, 42.7, 68.1, 109.9, 160.8, 323.2, 596.0, 1230.9, 2561.1, 4832.9, 8033.2, 15042.4, 25710.2, 44632.0, 77588.1, 120658.7, 163098.9, 202045.7, 246942.3, 261630.4, 269936.6, 264909.8, 246247.6, 223061.8, 180848.5, 156018.6, 126205.3, 93145.9, 71988.9, 53565.9, 42936.2, 34830.6, 23518.4, 17642.2, 12545.3, 8476.9, 6174.9, 5174.4, 4002.0, 2741.9, 2125.0, 1773.1, 1136.8, 869.1, 583.4, 451.3, 296.5, 222.5, 161.4, 113.4, 84.5, 59.6, 47.8, 35.2, 23.8, 18.0, 13.7, 9.3, 8.0, 5.3, 3.6, 2.1, 1.0, 0.7, 0.2, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
