S,E,I,R,Beta
996,0,4,0,0.000502008032128514
994,2,4,0,0.0005030181086519115
992,3,4,1,0.00025201612903225806
991,4,4,1,0.0002522704339051463
990,5,4,1,-0.0
990,5,4,1,0.0002525252525252525
989,6,3,2,0.0006740815638692282
987,7,3,3,0.00033772374197906115
986,7,3,4,0.0003380662609871535
985,7,4,4,-0.0
985,6,5,4,0.0002030456852791878
984,7,5,4,0.0004065040650406504
982,9,5,4,-0.0
982,9,4,5,0.0002545824847250509
981,9,5,5,0.00040774719673802244
979,10,6,5,-0.0
979,9,6,6,0.00017024174327545113
978,10,6,6,-0.0
978,9,6,7,-0.0
978,8,7,7,0.00014607069821793748
977,7,9,7,0.0002274536563175253
975,7,11,7,0.0002797202797202797
972,10,10,8,0.00030864197530864197
969,13,9,9,0.00022933149868134388
967,13,11,9,9.401146939926671e-05
966,14,11,9,0.0004705439488048184
961,19,10,10,0.0004162330905306972
957,20,13,10,8.03793907242183e-05
956,20,14,10,7.471607890017931e-05
955,19,15,11,0.00034904013961605586
950,22,15,13,0.0002807017543859649
946,25,15,14,0.00035236081747709656
941,26,15,18,0.00021253985122210415
938,26,18,18,0.00041459369817578774
931,28,22,19,0.0003417634996582365
924,31,24,21,0.00022546897546897547
919,32,22,27,0.0001483826293401919
916,31,26,27,0.00016795431642593214
912,33,26,29,0.00016869095816464237
908,32,28,32,0.00027533039647577095
901,36,29,34,0.00022962991312334952
895,37,33,35,0.00023700694091755543
888,40,35,37,0.0004182754182754183
875,47,39,39,0.0002637362637362637
866,50,40,44,0.00023094688221709007
858,48,47,47,0.00014878738282993602
852,51,47,50,0.00024972530216761565
842,57,49,52,0.00016966406515100103
835,59,47,59,5.096190597528348e-05
833,57,46,64,0.0001565843728795866
827,58,50,65,0.00019347037484885126
819,58,53,70,0.00020733982998133942
810,61,54,75,0.00020576131687242798
801,63,57,79,0.0001533171255229209
794,67,56,83,0.00026988125224901044
782,74,57,87,0.00020191142818683537
773,77,58,92,0.0001338270062898693
767,79,61,93,0.0001709876675144805
759,78,66,97,0.00019962470555355931
749,77,72,102,0.00018543242842308262
739,77,78,106,0.0002255299954894001
726,85,75,114,0.00020202020202020202
715,87,78,120,0.00021516944593867672
703,92,76,129,0.00020588455491502583
692,93,77,138,0.00011260415884693342
686,89,79,146,0.0001660700446543898
677,91,80,152,0.00014771048744460856
669,91,82,158,0.00016405993656349119
660,90,84,166,3.6075036075036075e-05
658,84,85,173,0.0001072769533345253
652,84,86,178,0.0002496789841632187
638,87,85,190,0.00020283975659229209
627,88,93,192,0.00018864365214110544
616,91,92,201,0.0001588085827216262
607,97,88,208,0.00016848884229444361
598,98,90,214,0.0001300631735414344
591,95,90,224,0.00018800526414739614
581,95,89,235,0.00017405093890812044
572,93,92,243,9.50136819702037e-05
567,90,94,249,0.00015009944087958273
559,91,94,256,0.00015224755452365548
551,88,96,265,0.00015124016938898973
543,87,99,271,0.00011161337128187957
537,84,102,277,9.12841859276299e-05
532,82,101,285,0.00013027618551328816
525,79,102,294,0.00022408963585434174
513,83,105,299,5.56947925368978e-05
510,73,112,305,7.002801120448179e-05
506,69,110,315,0.00014372978799856272
498,65,112,325,5.378657487091222e-05
495,56,115,334,0.00010540184453227932
489,58,104,349,0.00011798017932987259
483,59,103,355,0.00010050453275442723
478,61,98,363,8.538980445734779e-05
474,57,101,368,0.0001462171533609057
467,59,93,381,0.0001381501692339573
461,61,91,387,0.0001906986722604944
453,63,89,395,0.0001240171639754942
448,64,84,404,0.00010629251700680272
444,61,84,411,2.6812526812526813e-05
443,53,88,416,7.695464806074287e-05
440,52,86,422,7.928118393234672e-05
437,52,80,431,5.7208237986270026e-05
435,49,81,435,0.00017028522775649213
429,50,80,441,0.00011655011655011655
425,48,79,448,0.0002084884586746091
418,45,78,459,0.00015335541651331124
413,46,74,467,3.272037170342255e-05
412,39,78,471,0.00018670649738610905
406,41,77,476,9.596315015034226e-05
403,38,77,482,0.00019335503206470948
397,41,76,486,0.00013257324671881213
393,41,77,489,3.304583457255213e-05
392,39,72,497,3.5430839002267575e-05
391,36,68,505,7.522190461862494e-05
389,38,66,507,3.894991041520604e-05
388,36,60,516,0.0001288659793814433
385,36,61,518,8.516074089844582e-05
383,35,60,522,8.703220191470844e-05
381,30,61,528,8.6054816918377e-05
379,30,58,533,4.549176599035575e-05
378,27,58,537,4.5612114577631816e-05
377,26,56,541,-0.0
377,23,54,546,4.912073877591119e-05
376,24,50,550,0.00010638297872340425
374,22,47,557,0.0001706678803049266
371,24,42,563,0.0001283532280836863
369,22,40,569,0.0002032520325203252
366,25,37,572,0.0001476886722788362
364,23,39,574,7.044237813468582e-05
363,24,37,576,-0.0
363,22,36,579,7.652280379553107e-05
362,22,34,582,0.00016249593760155997
360,22,34,584,8.169934640522875e-05
359,22,31,588,8.985533291400844e-05
358,23,30,589,-0.0
358,21,30,591,-0.0
358,19,25,598,0.000111731843575419
