Приволжский ФО , Самара , ЦГиЭ;;;;;;;;;;;;;;;;
;;Число образцов тестированных на грипп;A (субтип не определен);A(H1)pdm09;A(H3);B;Число образцов тестированных на другие ОРВИ;Парагрипп;Аденовирус;РС-вирус;Риновирус;Коронавирус;Метапневмовирус;Бокавирус;Число образцов тестированных на COVID-19;COVID-19
;;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего
2010.1 (04.01.2010 - 10.01.2010);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.2 (11.01.2010 - 17.01.2010);Н;46;0;3;0;0;0;0;0;0;0;0;0;0;;
2010.3 (18.01.2010 - 24.01.2010);Н;19;0;1;0;0;0;0;0;0;0;0;0;0;;
2010.4 (25.01.2010 - 31.01.2010);Н;17;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.5 (01.02.2010 - 07.02.2010);;;;;;;;;;;;;;;;
2010.6 (08.02.2010 - 14.02.2010);Н;31;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.7 (15.02.2010 - 21.02.2010);;;;;;;;;;;;;;;;
2010.8 (22.02.2010 - 28.02.2010);Н;36;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.9 (01.03.2010 - 07.03.2010);Н;14;4;0;0;0;0;0;0;0;0;0;0;0;;
2010.10 (08.03.2010 - 14.03.2010);Н;25;1;0;0;0;0;0;0;0;0;0;0;0;;
2010.11 (15.03.2010 - 21.03.2010);Н;22;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.12 (22.03.2010 - 28.03.2010);Н;30;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.13 (29.03.2010 - 04.04.2010);Н;25;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.14 (05.04.2010 - 11.04.2010);Н;17;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.15 (12.04.2010 - 18.04.2010);Н;16;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.16 (19.04.2010 - 25.04.2010);;;;;;;;;;;;;;;;
2010.17 (26.04.2010 - 02.05.2010);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.18 (03.05.2010 - 09.05.2010);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.19 (10.05.2010 - 16.05.2010);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.20 (17.05.2010 - 23.05.2010);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.21 (24.05.2010 - 30.05.2010);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.22 (31.05.2010 - 06.06.2010);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.23 (07.06.2010 - 13.06.2010);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.24 (14.06.2010 - 20.06.2010);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.25 (21.06.2010 - 27.06.2010);;;;;;;;;;;;;;;;
2010.26 (28.06.2010 - 04.07.2010);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.27 (05.07.2010 - 11.07.2010);;;;;;;;;;;;;;;;
2010.28 (12.07.2010 - 18.07.2010);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.29 (19.07.2010 - 25.07.2010);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.30 (26.07.2010 - 01.08.2010);;;;;;;;;;;;;;;;
2010.31 (02.08.2010 - 08.08.2010);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.32 (09.08.2010 - 15.08.2010);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.33 (16.08.2010 - 22.08.2010);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.34 (23.08.2010 - 29.08.2010);;;;;;;;;;;;;;;;
2010.35 (30.08.2010 - 05.09.2010);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.36 (06.09.2010 - 12.09.2010);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.37 (13.09.2010 - 19.09.2010);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.38 (20.09.2010 - 26.09.2010);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.39 (27.09.2010 - 03.10.2010);;;;;;;;;;;;;;;;
2010.40 (04.10.2010 - 10.10.2010);;;;;;;;;;;;;;;;
2010.41 (11.10.2010 - 17.10.2010);;;;;;;;;;;;;;;;
2010.42 (18.10.2010 - 24.10.2010);;;;;;;;;;;;;;;;
2010.43 (25.10.2010 - 31.10.2010);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.44 (01.11.2010 - 07.11.2010);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2010.45 (08.11.2010 - 14.11.2010);;;;;;;;;;;;;;;;
2010.46 (15.11.2010 - 21.11.2010);Н;17;0;0;0;0;24;2;2;0;0;0;0;0;;
2010.47 (22.11.2010 - 28.11.2010);;;;;;;;;;;;;;;;
2010.48 (29.11.2010 - 05.12.2010);Н;40;0;0;0;0;15;1;0;0;0;0;0;0;;
2010.49 (06.12.2010 - 12.12.2010);Н;57;0;0;0;0;16;1;0;0;0;0;0;0;;
2010.50 (13.12.2010 - 19.12.2010);Н;69;0;0;0;3;0;0;0;0;0;0;0;0;;
2010.51 (20.12.2010 - 26.12.2010);;;;;;;;;;;;;;;;
2010.52 (27.12.2010 - 02.01.2011);Н;47;0;0;0;1;32;3;1;0;0;0;0;0;;
2011.1 (03.01.2011 - 09.01.2011);;;;;;;;;;;;;;;;
2011.2 (10.01.2011 - 16.01.2011);Н;25;0;1;0;2;0;0;0;0;0;0;0;0;;
2011.3 (17.01.2011 - 23.01.2011);Н;53;0;2;0;10;9;1;0;0;0;0;0;0;;
2011.4 (24.01.2011 - 30.01.2011);Н;41;0;3;0;18;14;1;0;0;0;0;0;0;;
2011.5 (31.01.2011 - 06.02.2011);Н;111;0;18;0;20;0;0;0;0;0;0;0;0;;
2011.6 (07.02.2011 - 13.02.2011);Н;152;0;35;2;24;46;1;8;0;0;0;0;0;;
2011.7 (14.02.2011 - 20.02.2011);Н;157;0;36;0;30;2;0;0;0;0;0;0;0;;
2011.8 (21.02.2011 - 27.02.2011);Н;177;0;64;0;21;6;0;0;0;0;0;0;0;;
2011.9 (28.02.2011 - 06.03.2011);Н;191;0;86;0;12;15;1;2;0;0;0;0;0;;
2011.10 (07.03.2011 - 13.03.2011);Н;118;0;66;0;5;25;0;0;0;0;0;0;0;;
2011.11 (14.03.2011 - 20.03.2011);Н;133;0;45;0;10;0;0;0;0;0;0;0;0;;
2011.12 (21.03.2011 - 27.03.2011);Н;116;0;20;2;4;25;2;1;0;0;0;0;0;;
2011.13 (28.03.2011 - 03.04.2011);Н;91;0;20;2;2;5;1;0;0;0;0;0;0;;
2011.14 (04.04.2011 - 10.04.2011);Н;43;0;4;0;0;9;0;1;0;0;0;0;0;;
2011.15 (11.04.2011 - 17.04.2011);Н;47;0;2;0;0;13;3;0;0;0;0;0;0;;
2011.16 (18.04.2011 - 24.04.2011);Н;25;0;0;0;0;14;0;1;0;0;0;0;0;;
2011.17 (25.04.2011 - 01.05.2011);Н;40;0;0;0;0;4;2;0;0;0;0;0;0;;
2011.18 (02.05.2011 - 08.05.2011);Н;4;0;0;0;0;5;1;0;0;0;0;0;0;;
2011.19 (09.05.2011 - 15.05.2011);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.20 (16.05.2011 - 22.05.2011);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.21 (23.05.2011 - 29.05.2011);Н;4;0;0;0;0;2;1;0;0;0;0;0;0;;
2011.22 (30.05.2011 - 05.06.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.23 (06.06.2011 - 12.06.2011);Н;4;0;0;0;0;2;0;0;0;0;0;0;0;;
2011.24 (13.06.2011 - 19.06.2011);Н;3;0;0;0;0;3;0;0;0;0;0;0;0;;
2011.25 (20.06.2011 - 26.06.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.26 (27.06.2011 - 03.07.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.27 (04.07.2011 - 10.07.2011);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.28 (11.07.2011 - 17.07.2011);;;;;;;;;;;;;;;;
2011.29 (18.07.2011 - 24.07.2011);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.30 (25.07.2011 - 31.07.2011);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.31 (01.08.2011 - 07.08.2011);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.32 (08.08.2011 - 14.08.2011);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.33 (15.08.2011 - 21.08.2011);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.34 (22.08.2011 - 28.08.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.35 (29.08.2011 - 04.09.2011);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.36 (05.09.2011 - 11.09.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.37 (12.09.2011 - 18.09.2011);;;;;;;;;;;;;;;;
2011.38 (19.09.2011 - 25.09.2011);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.39 (26.09.2011 - 02.10.2011);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.40 (03.10.2011 - 09.10.2011);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.41 (10.10.2011 - 16.10.2011);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.42 (17.10.2011 - 23.10.2011);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.43 (24.10.2011 - 30.10.2011);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.44 (31.10.2011 - 06.11.2011);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.45 (07.11.2011 - 13.11.2011);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.46 (14.11.2011 - 20.11.2011);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.47 (21.11.2011 - 27.11.2011);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.48 (28.11.2011 - 04.12.2011);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.49 (05.12.2011 - 11.12.2011);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.50 (12.12.2011 - 18.12.2011);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.51 (19.12.2011 - 25.12.2011);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2011.52 (26.12.2011 - 01.01.2012);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.1 (02.01.2012 - 08.01.2012);;;;;;;;;;;;;;;;
2012.2 (09.01.2012 - 15.01.2012);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.3 (16.01.2012 - 22.01.2012);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.4 (23.01.2012 - 29.01.2012);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.5 (30.01.2012 - 05.02.2012);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.6 (06.02.2012 - 12.02.2012);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.7 (13.02.2012 - 19.02.2012);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.8 (20.02.2012 - 26.02.2012);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.9 (27.02.2012 - 04.03.2012);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.10 (05.03.2012 - 11.03.2012);Н;15;0;0;2;0;0;0;0;0;0;0;0;0;;
2012.11 (12.03.2012 - 18.03.2012);Н;25;0;0;6;0;0;0;0;0;0;0;0;0;;
2012.12 (19.03.2012 - 25.03.2012);Н;46;0;1;10;1;0;0;0;0;0;0;0;0;;
2012.13 (26.03.2012 - 01.04.2012);Н;57;0;1;12;0;57;2;1;0;0;0;0;0;;
2012.14 (02.04.2012 - 08.04.2012);Н;50;0;0;1;0;20;0;0;0;0;0;0;0;;
2012.15 (09.04.2012 - 15.04.2012);Н;38;0;0;6;0;16;8;1;0;0;0;0;0;;
2012.16 (16.04.2012 - 22.04.2012);Н;18;0;0;7;0;0;0;0;0;0;0;0;0;;
2012.17 (23.04.2012 - 29.04.2012);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.18 (30.04.2012 - 06.05.2012);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.19 (07.05.2012 - 13.05.2012);;;;;;;;;;;;;;;;
2012.20 (14.05.2012 - 20.05.2012);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.21 (21.05.2012 - 27.05.2012);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.22 (28.05.2012 - 03.06.2012);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2012.23 (04.06.2012 - 10.06.2012);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
